sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
10-ZXDX-9UOK	X004942LUV	B007MECZUA	PureBites Freeze-Dried Cat Treats with Chicken Breast 1.09 oz	New	10.99	No		Yes	0	0	0	0	27	0.08	27	0	0	0	0	0
11-0BB1-JYAH	X003YL2E9D	B01CKGNVKM	Lady Speed Stick Deodorant 2.3oz Powder Fresh Power (2 Pack)	New	9.99	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
11-UUKM-PMPT	X00486H8HB	B06WPBTMBV	Champion Spark Plug, RJ19LM	New	9.64	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
12-XX2G-5WRQ	X0041WP4T1	B000QFRKRA	AniMed ULC-R-Aid 4 lb	New	36.99	No		Yes	0	0	0	0	0	0.21	0	0	0	0	0	0
13-JRZY-NZ3I	X0040BE8MR	B08VFFHS38	Redbarn All-Natural Lamb Lung Filets for Dogs - Premium Grain-Free Single Ingredient Dental Treats - Made in USA with No Artificial Ingredients - 10 oz Bag	New	24.99	No		Yes	32	30	0	2	42	0.25	0	0	10	0	0	0
14-NZNW-5SL9	X0041ASGYN	B00074W13I	Nupro Health Nuggets for Cats (1lb jar)	New	27.99	No		Yes	0	0	0	0	0	0.06	0	0	0	0	0	0
15-NH4G-CNBC	X0049VCBKJ	B005VUEJ6K	Celtic Sea Salt Fne Ground Pouc	New	16.99	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
16-L8IX-NQ39	X003ZEHLKB	B071FJYTSX	Mop & Glo Multi-Surface Floor Cleaner, 32 Ounce (Pack of 4)	New	39.99	No		Yes	0	0	0	0	0	0.59	0	0	0	0	0	0
16-YZMZ-HFKB	X0043HOZHV	B088P7K3GN	Suave Essentials Revitalizing Shampoo, Juicy Green Apple, 15 fl oz (2 pack) (Bundle)	New	14.95	No		Yes	2	0	0	2	2	0.07	0	0	0	0	0	0
1830489	X003OYUSPR	B01IA9DA1S	BRUT Deodorant Stick Original Fragrance 2.50 oz (Pack of 8)	New	27.99	No		Yes	0	0	0	0	0	0.17	0	0	0	0	0	0
1C-Q5L8-HMJQ	X003RRHFY3	B00BBF9CTI	Yaucono Ground Coffee, Medium Roast, 10 Ounce Can (Pack of 2)	New	21.03	No		Yes	1	1	0	0	1	0.11	0	0	0	0	0	0
1D-0A71-Y76M	X0046RGUCV	B0BJMG5CSW	Purina Friskies Party Mix Cat Treats, Beachside Crunch, Made with Ocean Whitefish, Crunchy Cat Treats for Adult Cats, 20-Ounce Resealable Canister (Pack of 2)	New	28.99	No		Yes	0	0	0	0	0	0.29	0	0	0	0	0	0
1D-HGP6-SPH1	X0044IVC0R	B01FUG7BL4	Nutri-Vet K9 Dog Aspirin for Small Dogs 100ct	New	14.40	No		Yes	28	28	0	0	28	0.02	0	0	0	0	0	0
1F-FOAY-91YP	X0048NPQA5	B008Y4JQXQ	ThePetStop Safe-Guard Canine Dewormer 3 Dose x 1 Gram	New	9.99	No		Yes	31	7	0	24	35	0.01	0	4	0	0	0	3
1G-N5YX-1JTI	X003UURA6Z	B0BN2BV7QX	BAND-AID Bandages Travel Kit 8 Each (Pack of 2)	New	9.99	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
1J-LBER-0J73	X00462GRPL	B008BYPRRI	Three Bond High Performance/Adhesion Liquid Gasket TB1207B	New	26.99	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
1K-7MV0-9NFZ	X0049V6D7L	B00176F402	Hikari Staple Koi Food 4.4 Lb - Mini Pellet	New	38.29	No		Yes	0	0	0	0	0	0.33	0	0	0	0	0	0
1L-WZNJ-9IXI	X0041X2QTV	B01EX695BG	(3 Pack) Nutri Source Soft/Tender Dog Treat Flavor: Salmon 6-Ounces	New	19.99	No		Yes	1	0	0	1	1	0.12	0	0	0	0	0	0
