id,ASIN,product_image,product_name,seller_sku,FBA_available_inventory,reserved_quantity,Inbound_to_FBA,supplier_name,supplier_item_number,product_cost,pack_type,is_active,createdAt,updatedAt
12345,B00025Z6W0,NULL,"Ocean Nutrition Prime Reef Flakes Fish Food 5.5 Ounces (154 Grams) Jar | Saltwater Marine Aquarium Flake Food for Reef Aquariums | Angelfish Clownfish Damsels Wrasses Gobies Clown",LQ-YT78-3DI8,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12346,B0002YFQXU,NULL,"DermaPet Malacetic Otic AP - 16 oz",LS-OCKV-H2W1,12,39,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12347,B07PJYSZYH,NULL,"Supreme Petfoods Selective Naturals Country Loops with Carrot & Timothy Hay (Pack of 4)",LS-XIDB-QN0S,162,2,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12348,B0063KFJHK,NULL,"Old English Scratch Cover For Dark Wood, 8 oz",LV-10C0-S6ND,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12349,B091D7P93V,NULL,"Bob's Red Mill 5 Grain Rolled Hot Cereal, 16 Oz (Pack of 4)",LW-NFF6-DPMX,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12350,B000HHFA9C,NULL,"Manna Pro 1000327 Medicated Dewormer, 6-Pounds Positive Pellet Goat, 6 Pound",LX-YE5H-IOGT,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12351,B006YG2R0A,NULL,"Nylabone Advanced Oral Care Tartar Control Dog Toothpaste Original 2.5 oz. (1 Count)",LY-4ZLS-RWFO,8,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12352,B01BTECYXQ,NULL,"Greenies Chicken Pill Pocket Dog Capsule Treats (2) 15.8oz Bags - 120 Total Capsules",LY-PKIG-420Q,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12353,B00L2DTJDS,NULL,"Cardinal Laboratories Botanic Training Rewards Mini Treats Small Dogs, Bacon, 4-Ounce(2Pack)",LY-REZP-0XF2,9,2,10,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12354,B002R8SLTU,NULL,"Fruitables Crunchy Baked Dog Treats | Pumpkin & Blueberry | 7 Ounces, Model Number: 2157",LY-Y9B2-XKYX,4,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12355,B0758GGTFN,NULL,"(3 Pack) DURVET 136028 vitamins & Electrolytes, 8 oz3",LZ-LJXB-RXPF,55,31,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12356,B00345EX0G,NULL,"Yaucono Ground Coffee Bagged, 14 Ounce (Pack of 6)","La FE",0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
